夜航星(00:02:34): And. 
张凯(00:19:29): 假如他再选择一个也是肩颈舒缓 spa，然后他是选择30次的疗程，他和这个就不合并，因为他单次，然后数量是21嘛，是30次的疗程卡，

夜航星(00:19:47): 对。

张凯(00:19:50): 然后数量是以这两个是不合并的。

夜航星(00:19:53): 对，是不合并的。

张凯(00:19:55): 他选择两张30次的，总共是60次，两张就是合并的。

夜航星(00:20:00): 对。

张凯(00:20:01): 对，逻辑。

夜航星(00:20:03): 逻辑。

张凯(00:20:09): 这是目前订单和服务单的，我昨天打出来的体验。

夜航星(00:20:21): 营业额分配展示这里不合并，

张凯(00:20:23): 这里营业额展示你说这里点进去订单那里面的展示。

夜航星(00:20:24): 这有问题吗？需要合并？就订单那边的展示？

张凯(00:20:37): 目前理解是影响不大，小群你这边有需求吗？我觉得分不分合不合并没影响，因为你这里营我看了营业额分配，这里已经给合并了嘛？

夜航星(00:20:49): 对，就操作的时候给他合并了。

张凯(00:20:51): 对。这里看的是合并的，然后说订单里面下面没有合并。

夜航星(00:21:05): 我感觉不影响操作的地方，没有就没有给他合并。

张凯(00:21:09): 小群你那边有影响吗？没有影响吧？

贺东群(00:21:14): 这是啥东西？

张凯(00:21:15): 营业额分配在这里面你也要分配，这里看着给它合并的，知道吗？这里你看我这里标出来了，它这里已合并21条明细。然后在订单明细里面是没有合并的。

贺东群(00:21:37): 调出来合并就可以了？

张凯(00:21:39): 导出来我不知道是不是合并的，忘记了看一下，

贺东群(00:21:44): 是合并的。

张凯(00:21:45): 导出来没合并，

夜航星(00:21:47): 岛川没合并，岛川目前都是没有合并的。

张凯(00:21:51): 总算没有合并。导出来可以帮忙合并一下吗？

夜航星(00:22:02): 如果他只有金额不同，其他值都一样，合并，然后金额去累加。

张凯(00:22:12): 营业额分配。你好像不存在金金额不同哈。

夜航星(00:22:24): 对，好像不存在这样。

张凯(00:22:26): 因为它相同才能合并嘛？

夜航星(00:22:28): 对是，好像是这样对。

张凯(00:22:34): 你刚刚那一个单，我看订单导出来有42行，合并之后就一就两个美容师就2行。这是我们导出来的，量有点大哈！

夜航星(00:22:47): 好，那合合一下。现在反正导出改成异步的方式了，你怎么折腾都可以。

张凯(00:23:05): 就不卡了，他反正等他。

夜航星(00:23:08): 对，它不会卡，就它，它慢慢归慢不会卡。

张凯(00:23:14): 小陈你那边？你你要确保你要确保大家，你要确保大家9月初的时候。老数据算工资也不能出问题！

张凯(00:23:45): 整店的。等电的。准确的想好。我看一下报表哈！服务的。服务单好像也是。服务单的单号？

张凯(00:24:34): 小群服务单需要合并吗？

贺东群(00:24:38): 服务单合并什么？

张凯(00:24:42): 关联服务明细。

夜航星(00:24:51): 吴丹这边是不需要他11次一把不会做很多吧？

贺东群(00:24:51): 什么。不是谢工，

张凯(00:24:59): 对，不会做很多，不会做很多。

贺东群(00:25:02): 比如说这三个项目都是一，好像分配的时候它是合并显示的，能不能把它分开？

夜航星(00:25:12): 那么盖层很明显是。

贺东群(00:25:15): 分开的时候分开展示，不要合并展示服务单和商务单不一样。

夜航星(00:25:20): 就服务单提成那里？不小心给它合并。

贺东群(00:25:28): 不是，是分开不是合并！

夜航星(00:25:30): 这里行这里之前没注意到要分开好分开展示对。

张凯(00:25:37): 因为因为服务单它是？他可能每个项目服务的人都不一样。

夜航星(00:25:45): 不能合并？

张凯(00:25:46): 他还跟销售单位不一样。

夜航星(00:25:51): 可以。

张凯(00:26:26): 小群上次你跟我讨论的？订单你这边还有什么问题？还有转换单的问题？转换单。

贺东群(00:26:39): 转换。

张凯(00:26:41): 你说。

贺东群(00:26:43): 转换单我看一下问题，我登记的是什么？登记的是。

张凯(00:26:52): 我们现在有个困扰，

贺东群(00:26:52): 早上。

张凯(00:26:54): 有个困扰，需要你帮忙解决一下，谢工！但是转换的场景很复杂，我们现在比如说，我们转换之后，他这个金额有时候没有办法做到，完全对等嘛。比如说1000块钱。他划卡老卡是1000，他新做的项目是800是不是多了200就变到他的储值卡里面了？这是一种场景，

张凯(00:27:25): 然后，也有可能他还800体验一个1000的项目就是少的转多的，他因为是他是第一次体验这个项新项目，那么，店里是允许他去，不等价去转的。可能会发生他，他划他800块钱的卡，他做了一个1000块钱的新项目，是不用再去收他的钱的，所以，这个动作他是不用再付钱的。

张凯(00:28:01): 就跟我们，我们现有的场景，我们现在的场景是因为要补钱嘛，

夜航星(00:28:08): 对。

张凯(00:28:09): 我们在这个过程中发现了，有的店长他妈的，他写了已收，因为因为他。他写了个已收200，他没有收钱。因为因为他不写已收，他保存不了。我这么表达信息吗？

夜航星(00:28:30): 我听我理解了，理解了要咋弄，要开放的话权限就有点大。

张凯(00:28:42): 但然后我们内部开会总结了一下。常规情况下就是我们这种等价兑换强制要求他等价兑换肯定是没问题的，看能不能增加一个场景，比方说体验项目，体验的时候，站我的角度，因为我们它是没有方，没有办法判断你这个东西是不是体验的。他们义务的想法比如说你添加一个按钮，我是体验的情况下，体选一个，这是体体验，下面不需要等价去换，高划了1000转800的200也不给顾客了。如果是800做1000的项目的也200也不去收了，强制性把它价格变成一一样的。

夜航星(00:29:37): 前置性给它弄平。

张凯(00:29:40): 对，看这是业务提出来的需求，你看可不？不可以弄？

夜航星(00:29:48): 可以弄，然后新就新买的就转被就新买的金额还是按照实际发生来吗？

张凯(00:30:00): 按照划卡的强制性给他停掉，比如说，比如说我800我老卡我划了800块钱吧，然后转成1000的项目，他选择按钮是体验，那么，1000强制性变成800。改价嘛。就相当于改价嘛？

夜航星(00:30:25): 如果是1200的话，也强制变成1200。

张凯(00:30:31): 变成，你的1200转成1000吗？对，也是强制性变成1200，因为因为不影响，

夜航星(00:30:40): 可以。

张凯(00:30:40): 因为不能影响员工的提成。

夜航星(00:30:44): 可以！这是在。订单上加一个字段。

张凯(00:30:54): 转换的时候才有。

夜航星(00:30:58): 好。

张凯(00:31:03): 这样的话就可以满足他项目体验的时候，是可以给他，相当于可以给他适定适当的空间。

夜航星(00:31:14): 好，那的让他们不让用，

张凯(00:31:15): 因为。

夜航星(00:31:19): 你们后期审计了。

张凯(00:31:23): 对。我们可以筛选出来，比如说你筛选，筛选出来这种体验的再去核对，因为他如果我们只有一种场景，必须等价兑换，会导致小琴这边他很多单，他们会他们录不进去，然后小琴就没办法，只能去搞一些什么几块钱，几十块钱。506066这些什么优惠券去给他发了，然后强。

夜航星(00:31:57): 可以。

张凯(00:32:02): 所以现在后台一大堆的券。小琴我刚刚表达的逻辑能你能不能理解？

夜航星(00:32:16): 能理解，能理解。

张凯(00:32:19): 我问小群。

张凯(00:32:33): 你说啥我没听到。

贺东群(00:32:36): 你刚刚说什么？

张凯(00:32:39): 转换单。

贺东群(00:32:44): 转换门。

张凯(00:32:45): 增加。

贺东群(00:32:46): 增加让他们手动填写优惠的地方，把搞平了。

张凯(00:32:52): 不是手动填写优惠是增加一个体验按钮，他如果是体验的，就允许他有一些价格的波动。比如说你想，你想，比如说你是老顾客，你想还你800块钱的卡体验一个980的项目，那你是第一次体验没关系，我就给你，我就给你相当于800块钱卖给你了。

贺东群(00:33:17): 都抹平了？

张凯(00:33:18): 你就不用补补这个180了，

贺东群(00:33:22): 可以的。

张凯(00:33:23): 但是有的顾客比如说有的顾客愿意花1000去体验980，刚好还多了20块钱吧。20块钱他20块钱，

贺东群(00:33:32): 别给他。

张凯(00:33:35): 那相当于我你顾客，你既然愿意，那我这个980就卖你1000，就把这个980改价改成1000。

贺东群(00:33:46): 不懂，等等设计出来。大概就懂。

夜航星(00:33:51): 凯总，我有个问题，他在做这种体验性体验类转换单，他是之前已经知道，需要抹平还是他，他只有把转换单选了之后，他看看再选择。就我考虑一下，把这个按钮放在哪里，放在前面还是放在后面？

张凯(00:34:22): 正常情况下，两种场景都有，大部分情况大部分的情况都是他前面就已经知道了，可能也有部分店长他前面他不知道，单价是多少钱嘛？但是。但是他选择。他到页面的时候肯定是知道的，就选择旧卡的页面。

夜航星(00:34:51): 选择旧卡的页面就知道。

张凯(00:34:55): 因为他能看到单价吧，选择旧卡的页面。

夜航星(00:34:58): 对。这个还得放后面，后面？他勾上之后相当于金额就给他锁死了，不允许他改了。

张凯(00:35:22): 金额。

夜航星(00:35:23): 强行篡改掉他！

张凯(00:35:26): 对。

夜航星(00:35:29): 对，强行篡改掉他的前面的，下单就是交购物车那几个商品的应收。

张凯(00:35:41): 对。

夜航星(00:35:44): 就应收和实收都干掉，应收，把应收实收都改掉，

张凯(00:35:50): 因为因为它本来它就不能修改嘛，

夜航星(00:35:50): 然后是。

张凯(00:35:52): 它可以通过这个按钮来是否选择强制修改。

夜航星(00:35:58): 这种情况他就不能那个部分支付了。

张凯(00:36:05): 不能部分支付？

夜航星(00:36:07): 对。现在转换单它是可以那个部分支付的？

张凯(00:36:14): 就不存在部分支付了。

夜航星(00:36:19): 对，实付和，应付都给他弄相等了，然后他选的他下单的是多少次，那就给他给满。

张凯(00:36:31): 对。全部根据他选择的旧卡来。他就卡选了？

贺东群(00:36:37): 不是。比如说他要转的时候转换单，有情况，比如说我要1000转1200的时候，他可以抹平，但是我也有一3000转5000，然后我要付2000的同时，我只付了500还剩1500欠款也要设定进去。

张凯(00:37:01): 你又常规的，你就不喜欢体验这个按钮就好了。谢公是理解了吧？

夜航星(00:37:10): 理解的，

张凯(00:37:10): 对，因为因为你你可以。

夜航星(00:37:12): 我就跟你们确认一下体验卡购买的商品，它得是全全部支付，不能部分支付。

张凯(00:37:23): 对，你常规情况下还可以像现在一样，你你抵了之后顾客还补一部分钱，没问题，体验那种项目的时候就。让他显示父亲嘛！零头也不收了嘛？

贺东群(00:37:41): 懂了。

张凯(00:37:47): 不然你你通过最土的办法去发现你发到火箭马月。

贺东群(00:37:52): 我没有发卷，我让他们别做。我让他。

张凯(00:37:55): 你别做。

贺东群(00:37:56): 把卡直接备注诶！

张凯(00:38:01): 那汇总出来的数据就不对了嘛？

贺东群(00:38:03): 是不对嘛，那没办法，他要做！

张凯(00:38:07): 说到转换单，我们就是常规的转换，多出来的钱他不是进入到储值金了吗？导出来的订单里面是没有这一行就导致对转换单的订单明细求和是有差额的。

夜航星(00:38:23): 没有数。这个款项那边有点问题了。那款项流水那里再加？没有储值金吗？看我找一个看一眼。

张凯(00:38:47): 我昨天看到了，他没有增加，没有增加储值金的那一项流水。

夜航星(00:38:56): 把补上。增加。

张凯(00:39:03): 比如说，比如说10001000的1000的项目划掉1000的项目去做800的项目，还余了200进入了储值金，订单明细里面的合计就是有个200的差额。-1000然后正800就导致还负了两负了200！

夜航星(00:39:23): 行。行，这个时候我改一下。

张凯(00:39:32): 我看了一下储值金的流水里面储值金的明细里面是有这一笔加了一加了200，然后但是订单明细里没有，没有这一行。

夜航星(00:39:42): 可能就做漏了，做漏了。

张凯(00:39:56): 小云你你那边还有什么要修复的，你你讲完，然后我再讲第二步。

贺东群(00:40:02): 还有一个转换单，我昨天登记的问题，然后显示是已修复，我今天早上测试了一下，刚刚我说的转换三3000转5000，然后付要付两应付要2000，然后只付了500还欠一1500，目前还是不行。

夜航星(00:40:25): 哪个不行，等一下你是哪一条，哪一条那个它序号哪个序号的 bug 还不行？

贺东群(00:40:35): 147。

夜航星(00:40:36): 一般。147。147就顾客档案这里？

贺东群(00:40:45): 上顾客达上面这。

夜航星(00:40:46): 上面一条。

贺东群(00:40:52): 我测试的时候它还是没有显示应付实付就没有填实付的地方。

夜航星(00:40:58): 没有填实付的地方，我这理解错，我还以为你要改改改那个名称而已，没有填实付的地方。

贺东群(00:41:08): 转换的话，就好像你转了之后必须还清一样，他有的可能还欠款，只付了一丢丢钱。

夜航星(00:41:17): 转入商品这里没有填实付的地方。

贺东群(00:41:20): 对。

夜航星(00:41:26): 这再改一下吧，这确实没改。

贺东群(00:41:29): 然后还有定位，我们顾客，他在外地，然后我们门店联系他在外地绑定注册门店的时候，他就绑定不了门店。

夜航星(00:41:43): 定位的限制我给你解掉，他只要搜搜索能搜到还是怎么样，搜搜地级市？

贺东群(00:41:53): 定位不能改，他比如说在上海，他想绑定九江他就绑不了。

夜航星(00:42:02): 对，我提的方案他在绑定门店那里可以搜，比如说搜九江，然后匹配上的门店给他显示出来。

贺东群(00:42:16): 就可以改改成这种能搜索到的？

夜航星(00:42:19): 可以。那给他改。

贺东群(00:42:22): 其他的。

夜航星(00:42:26): 你要不也记一下？

夜航星(00:43:35): 你你们这你们这边还有别的事项吗？

张凯(00:43:41): 小陈你还有没有？

贺东群(00:43:43): 到了。

张凯(00:43:45): 那我这里还有诶？我们寄生存你帮我们导了吗？

夜航星(00:43:52): 倒了还在测试环境上？

张凯(00:43:56): 我那天我进进去测试环境了，然后。我昨天发了一个异常的截图，你帮我看了没？

夜航星(00:44:05): 异常的截图。可能改，昨天测试环境那边改了很多。

张凯(00:44:12): 我引用一下。

夜航星(00:44:38): 问题。这个问题。这问题我改了，我看一下有没有提上去。

张凯(00:45:32): 没有。

夜航星(00:45:34): 汽车亲手，它是导入的状态可能有问题。我看一眼。

夜航星(00:46:14): 这个问题我上午修复一下再推。

张凯(00:46:19): 好。

夜航星(00:46:21): 三积分那边？会员权益那边有测吗？

张凯(00:46:31): 积分？积分是服务？到店，到店赠送，到店赠送又有了。

夜航星(00:46:45): 有这加上去了。

张凯(00:46:50): 照片赠送的规则你你设置的是什么样子的？

夜航星(00:46:54): 到店，然后有做项目的，不是走，走划卡就不是我们之前讨论的寄存单的那种划卡的，然后他送20积分，这个是可以配置的。

张凯(00:47:13): 是要会员！

夜航星(00:47:15): 对，要会员。

张凯(00:47:17): 对，然后那个数量没有，他券的数量。

夜航星(00:47:26): 数量。这环境有的。

张凯(00:47:32): 测测试环境有了，给他比如说发三张发几张的那种，因为因为他会对，

夜航星(00:47:41): 可以，车环境可以的，

张凯(00:47:43): 因为会员权益它这里有个自动发券嘛，不能填数量。

夜航星(00:47:45): 你可以勾，测试环境上面有，这边还没更新过来。

张凯(00:47:52): 对他因为有的顾客他升级之后是发两张。

夜航星(00:47:59): 现在测试环境这边得测，就现有的功能，测没问题的再合过来。

张凯(00:48:11): 测试环境这里？发放，这里有，有数量。会员权益这里？

夜航星(00:48:30): 再勾一个。

张凯(00:48:34): 这里也可以填数量。那小群那你要测试一下，我们记一下。

夜航星(00:48:46): 然后，系统管理那边我们还增加了一个功能，系统自检的一个功能。

张凯(00:48:55): 师姐，我看一下。

夜航星(00:48:57): 可以看看状态，用各个服务的状态，然后最下面有个，备数据备份的功能。

张凯(00:49:08): 备份。

夜航星(00:49:15): 它自动备份是保留7天，手动备份保留30天。

张凯(00:49:22): 是4级备份也是4级。

贺东群(00:49:36): 和我的页面不一样？

张凯(00:49:39): 我们测试环境？

贺东群(00:49:42): 他整理的蛮好的，这左边。

夜航星(00:49:46): 给你整理一遍。

张凯(00:49:46): But. 分类分了一下嘛！

夜航星(00:49:54): 对分分一下，原来有点乱。

张凯(00:49:57): 你要去测一下小云发券可以填数量了。

贺东群(00:50:02): 我看一下。优惠。

张凯(00:50:05): 测试环境里面。

贺东群(00:50:07): 测试环境不是真实的？

张凯(00:50:10): 你要先验验看正不正确了，然后再迁移过去了。

夜航星(00:50:14): 对，就是迁移，就下单环节，如果用用一用用积分的话，得重点测一下。如果合并过去有问题的话，阻碍当前的业务，只有这一块，然后别的都是新功能嘛，新功能不影响原来的。

张凯(00:50:45): 券你要验一下？

贺东群(00:50:52): 这个地方发的券不是真实的！

夜航星(00:50:58): 不是真实的，

张凯(00:50:59): 在这里没还？

夜航星(00:51:00): 这没关系。

张凯(00:51:01): 对测这是测试的，你在这里要测一下，看发现然后开单有没有，有没有问题。

贺东群(00:51:08): 比如说我这里发的券发给我自己，它也是会显示在我顾客端那里，我可以搞吗？

张凯(00:51:18): 小程序上肯定就不是了。

夜航星(00:51:19): 小金山不是？

贺东群(00:51:21): 在电脑上测试？那我发给谁？那顾客都没有！

张凯(00:51:29): 你发给你自己！

贺东群(00:51:32): 你不是说这是假的吗？

张凯(00:51:35): 那是假的，你在电脑上操作！

夜航星(00:52:06): 经营分析的，

张凯(00:52:07): 能不能。

夜航星(00:52:09): 菜单跳转卡的问题也改了一下。

张凯(00:52:14): 是那是。

夜航星(00:52:15): 右上角可以点过去的，右上角可以点过去。

张凯(00:52:20): 可以点过去，不用。可以。前面老卡了。

夜航星(00:52:29): 里面是加载完再跳转，然后那个助手那边用用的。感觉咋样就还符合要求吗？

张凯(00:52:41): 助手这边问问问出来的数据是空白的耶，比如说我问我，

夜航星(00:52:45): 空白的吗。

张凯(00:52:47): 我上次问过一次。

夜航星(00:52:48): 复复购是空白的。复购为啥会坏？

张凯(00:52:54): 我问了一次，然后他弹跳出来都是零。

夜航星(00:52:58): 那复购算的不对？

夜航星(00:53:35): 对不够。我现在复购好像是没有按照历史数据去算，用户在 S，美颜，这边发生日才开始算。

张凯(00:54:00): 按道理用了大概半个月复购还是零？

夜航星(00:54:10): 可能就这样。普吉利那些好像都不是零了。

张凯(00:54:14): But. 因对，因为因为到时候我们要把订单明细导出来去手动的去算一遍，看的上。

夜航星(00:54:27): 好。

张凯(00:54:31): 我们这个数据中心它里面的业绩，这个业绩的定义我们要对一下他业绩的定义，就是从订单的？订单的。现收那一列来的？

夜航星(00:54:55): 对。现在好，现在已经改改过来了。

张凯(00:55:00): 已经改了哈！

夜航星(00:55:02): 已经改了。

张凯(00:55:04): 只差周期的配置？

夜航星(00:55:08): 中心的配置对，他有几个业绩还是按照实付的，

夜航星(00:55:18): 森美业绩？

张凯(00:55:23): 审美劣迹。

夜航星(00:55:28): 如果有拆开分摊的话，生美也可以，也可以变成现收的。

张凯(00:55:34): 对。

夜航星(00:55:43): 像员工的业绩还是按照实付来吗？

张凯(00:55:49): 员工的业绩小群你你讲一下上次讨论的结果。

贺东群(00:56:02): 员工的业绩。按照我们的现金流分配。

张凯(00:56:10): 我信你信。哪个字段嘛？

夜航星(00:56:11): 也是用。

张凯(00:56:13): 现收吧。

贺东群(00:56:15): 现付嘛，现收现付那字叫啥？我记不得了，不是实付是现。

夜航星(00:56:25): 员工也是按？我们营业额分配那边还是按照实付来？

贺东群(00:56:37): 比如说我收了3000，我分给美容师，分了50%就是1500美容师就算1500，然后门店算3000。

张凯(00:56:50): 啥意思。我也没听明白。

贺东群(00:56:52): 意思就，意思比如说，美容师我收了3000块钱，我只分配给员工分1500，员工的数据排名就按照1500来算，分配给他的金额分配给他的现金流来算。明白了吗。因为，我们分配给员工，我只收了3000，我不可能分配给他3500员工按照现金流的分配额去计算他的排名。

夜航星(00:57:39): 我们感觉按照实搜更合理一点。

张凯(00:57:42): 你就是按照现付字段来的，你表达那么多，就是按那个字段来的。

贺东群(00:57:56): 按那个字段来，但是人家也不一定分配给他那么多，要按分配额来，现付的分配额。

张凯(00:58:06): 那玩意儿分配！为什么不是用比例算出来的吗？

贺东群(00:58:11): 是比例。

张凯(00:58:16): 对，分配额！分配额之前是用现付乘以。分配比例嘛，算出来一个分配额？是啥是。是根据分配额来的，难道以前不是根据分配额来的吗？

贺东群(00:58:39): 以前某以前也是，但是按照实付乘以分配比例是这样子的，但是实付里面有储值金，金额是不对的。因为我们让他把储值金部分减掉，然后他分配的金额就不是我们的现收，就会出现那种什么0点几那种零头。

张凯(00:59:07): 所以我们要讨论的不是分配额，我们要讨论分配额前面的。可分配额？

贺东群(00:59:16): 炫富。

张凯(00:59:18): 这里，这里，这里灰色的字可分配额。他是，他是现付嘛，指的。

贺东群(00:59:27): 对。就现金流的钱，收了多少钱才能分配多少钱就好了？

夜航星(00:59:40): 那储值卡那部分钱就他就不需要分配业绩了吗？

贺东群(00:59:48): 还不分配。

夜航星(00:59:51): 我们本身储存卡下单的时候，他也没有业绩分配。

贺东群(00:59:57): 对，就包括正常开单，他就抵扣了以前的储值卡也不分配，就只管他现付了多少，就按照现付来去作为他分配的依据，数据。

张凯(01:00:19): 始终有缺陷，我们选择了另外一种缺陷，给他分配，会导致数据中心里面这家店的业绩。还没有他员工分配的业绩加起来多，员工分配包含了储值卡，然后门店的业绩又没有包含储值卡抵扣的那一部分，所以员工的加起来比门店的还多，然后这是一种缺陷。第二种缺陷我们选择。不给员工去分？有差异，回头他们算工资的时候手动去补一下。We. 

夜航星(01:01:02): 不给员工去发？

张凯(01:01:07): 比如说顾客购买了3000，然后拿储值金抵扣了1000，然后是，现付2000，我们就分2000。

夜航星(01:01:15): ok 那个储值卡那边是不用动的，就它不用加什么？

张凯(01:01:28): 储值卡那边不用动。

夜航星(01:01:30): 感觉幸福。

夜航星(01:01:45): 还有别的啥问题吗？

张凯(01:01:52): 目前没有了，等着，你帮忙把库存的弄一下，然后我们测一下库存。

夜航星(01:01:57): 库存弄一下，库存就开发之后它一直 bug 有点多，改了好几版。

张凯(01:02:08): 估计我们验证完要改的还蛮多的。

夜航星(01:02:15): 我把先卡住，流程先给它改掉。你们测试环境这边准备啥时候合过去？

张凯(01:02:29): 测试环境这边？测完合过去？

夜航星(01:02:34): So on. 

张凯(01:02:47): 可以从那边跳过来，是跳不回去了嘞。

夜航星(01:02:51): 可以跳回去？

张凯(01:02:52): 点点哪个跳回去？

夜航星(01:02:56): 也有？最上方有个箭头。

张凯(01:03:06): 怎么跳回来了？

张凯(01:03:27): 包括福利。像昨天。跟昨天好像又不一样了。

夜航星(01:03:33): 昨天晚上又改了？

张凯(01:03:40): 你改成了不用选了？

夜航星(01:03:43): 对。

张凯(01:03:44): 昨天左右两侧都要选。Generally. 

夜航星(01:03:47): 昨天不太合理，我给我们自己看的，今天按照业务的角度，你一个商品要配哪些库存？

张凯(01:03:58): 这样最好省得我不知道哪个选了哪个没选挺好的。

夜航星(01:04:05): 对，那个多对多的意思。

张凯(01:04:06): 挺好的。然后他是根据左侧销售商品是根据哪个来的是？

夜航星(01:04:10): 战术。销售商品是根据，就你们那边填的家具产品拉的。

张凯(01:04:22): 能自动拉吗？比如说我们商品增加，它自动会过来吗？

夜航星(01:04:26): 自动过来了，它那这些未配置的就是。原来已经存在的。

张凯(01:04:35): 我指的它自动过来，它是根据哪个条件过来的嘞？

夜航星(01:04:39): 要查库，查税库过来的。

张凯(01:04:49): 你怎？

夜航星(01:04:49): 这是检索？商品 sku 这边所有的家家居。

张凯(01:04:58): 根据家居这两个字过来的吗？

夜航星(01:05:00): 不是，根据你可以点一个进去，点详情进去编辑。

张凯(01:05:10): 编辑。

